Year,KK_Title,KK_Text
1890,"Өзгеге, көңілім, тоярсың","Өзгеге, көңілім, тоярсың,\nӨлеңді қайтіп қоярсың?\nОны айтқанда толғанып,\nІштегі дертті жоярсың.\nСайра да зарла, қызыл тіл, \nҚара көңілім оянсын. \nЖыласын, көзден жас ақсын, \nОмырауым боялсын.\nҚара басқан, қаңғыған,\nХас надан нені ұға алсын? \nКөкірегінде оты бар,\nҚұлағын ойлы ер салсын. \nТыңдамаса еш адам,\nӨз жүрегім толғансын.\nӘр сөзіне қарасын,\nІштегі дертім қозғалсын. \nӘуелесін, қалқысын,\nОт жалын боп шалқысын. \nЖылай-жырлай өлгенде, \nАрттағыға сөз қалсын.\nМендей ғарып кез болса, \nМойын салсын, ойлансын. \nҚабыл көрсе сөзімді,\nКім таныса, сол алсын.\nНе пайда бар — мың надан\nСырттан естіп таңдансын. \nОнан дағы бір есті,\nІшкі сырын аңғарсын.\nӨздерің де ойлаңдар,\nНеше түрлі жан барсың. \nҒылым да жоқ, ми да жоқ, \nДаладағы аңдарсың. \nЖүрегіңмен тыңдамай, \nҚұлағыңмен қармарсың.\nСоны көріп, соларға,\nҚайтіп қана сарнарсың?!"
1890,Тайға міндік,"Тайға міндік,\nТойға шаптық,\nЖақсы киім киініп.\nҮкі тақтық,\nКүлкі бақтық,\nЖоқ немеге сүйініп. \nКүйкентай күтті,\nҚұс етті,\nНе бітті?\n\nАтамыз бар,\nМолдамыз бар,\nАйтқанына көнбедік.\nАрт жағында,\nБіз соған зар,\nБоламыз деп білмедік. \nҰрланып қаштық, \nЖолғастық,\nШуластық.\n\nЖазу жаздық,\nХат таныдық,\nБолдық азат молдадан. \nШала оқудан,\nНе жарыдық,\nҚалғаннан соң құр надан? \nБағасыз жастық –\nБозбастық,\nАдастық.\n\nБозбалалық –\nҚыз қарадық,\nҚалжың, әзіл сөйлестік.\nАт жараттық,\nСән тараттық,\nӘуейілік күйлестік.\nКөңілге келер,\nКім жолар,\nКім көнер?\n\nҚайын бардық,\nҚатын алдық,\nЕнші тиді азғана.\nШаруа атандық,\nЕнді ойландық,\nҚала берді бозбала. \nБұрынғы қайда? \nОйбайла –\nНе пайда?"
1890,Жұмбақ («Алла мықты жаратқан сегіз батыр»),"Алла мықты жаратқан сегіз батыр,\nБаяғыдан соғысып әлі жатыр.\nКезек-кезек жығысып, жатып-тұрып,\nКім жығары белгісіз түбінде ақыр.\n\nШешуі:\nМұны тапсам ойланып, ақын деңіз,\nТаба алмасам, ақылды болар неміз?\nҚыс пенен жаз, күн мен түн, тақ пенен жұп, \nЖақсылық пен жамандық — болды сегіз."
1890,Жұмбақ («Қара жер адамзатқа болған мекен»),"Қара жер адамзатқа болған мекен,\nҚазына іші толған әр түрлі кен.\nІшінде жүз мың түрлі асылы бар,\nСолардың ең артығы немене екен?\n\nШешуі: темір."
1890,"Жұмбақ («Сыналар, ей жігіттер, келді кезің»)","Сыналар, ей, жігіттер, келді жерің,\nСәулең болса, бермен кел талапты ерің. \nЖан құмары дүниеде немене екен –\nСоны білсең, әрнені білгендерің.\n\nШешуі: білмекке құмарлық."
1891,Жастықтың оты жалындап,"Жастықтың оты жалындап,\nЖас жүректе жанған шақ. \nТалаптың аты арындап,\nӘр қиынға салған шақ.\n\nУайым аз, үміт көп,\nЕт ауырмас бейнетке. \nБүгін-ертең жетем деп,\nКөңілге алған дәулетке.\n\nҚайратпен кіріп жалынбай, \nАқылмен тауып айласын.\n«Мен қалайға» салынбай, \nЖылы жүзбен жайнасын.\n\nҚайратқа сеніп қақтықпай, \nЖазасын тауып жауласар. \nҚатынша тілмен шаптықпай, \nМайданға шықса жарасар.\n\nЖалыны қайтар дененің,\nҮнемі тұрмас осы шақ.\nТалайғы кәрі дүниенің \nБір кетігін ұстап бақ.\n\nҚұйрығы шаян, беті адам, \nБайқамай сенбе құрбыға! \nЖылмаңы сыртта, іші арам,\nКез болар қайда сорлыға.\n\nДосыңа достық — қарыз іс, \nДұшпаныңа әділ бол.\nАсығыс түбі — өкініш,\nОйланып алмақ — сабыр сол.\n\nАқ көңілді жақсыдан \nАянбай салыс ортаға.\nАқылы, ары тапшыдан \nҚу сөзін алма қолқаға.\n\nСұм-сұрқия, қу заман \nГүл көрінер жігітке.\nҚызықты өмір жайнаған, \nКеудесі толып үмітке.\n\nБір нәрсені ұнатса,\nҚайта ойланып қарамас. \nМақтатып жұртты шулатса, \nҚұмары сол қызба бас.\n\nСенісерге келгенде,\nСене берер талғамай. \nЖұрты құрғыр сенгішке \nТұра ма қулық жалғамай?\n\nАры кеткен алдағыш, \nМені-ақ алда, сөкпейін. \nБалы тамған жас қамыс \nОрмасаңшы көктейін!\n\nСені жақсы көрмесе,\nСенер ме еді сөзіңе? \n«Япырмай!..» деп терлесе, \nАр емес пе өзіңе?"
1891,Заманақыр жастары,"Заманақыр жастары, \nҚосылмас ешбір бастары. \nБіріне бірі қастыққа\nҚойнына тыққан тастары.\n\nСаудасы — ар мен иманы, \nҚайрат жоқ бойын тыйғалы. \nЕңбекпен етті ауыртпай, \nҚұр тілменен жиғаны.\n\nӨнімсіз іске шеп-шебер, \nМайданға түспей несі өнер? \nСиырша тойса мас болып, \nӨреге келіп сүйкенер.\n\nКүлмеңдеп келер көздері, \nҚалжыңбас келер өздері. \nКекектеп секек етем деп, \nШошқа туар сөздері."
1891,Көзімнің қарасы,"Көзімнің қарасы,\nКөңілімнің санасы, \nБітпейді ішімде, \nҒашықтың жарасы.\n\nҚазақтың данасы,\nЖасы үлкен ағасы.\nБар демес сендей бір \nАдамның баласы.\n\nЖылайын, жырлайын, \nАғызып көз майын. \nАйтуға келгенде,\nҚалқама сөз дайын.\n\nЖүректен қозғайын, \nӘдептен озбайын.\nӨзі де білмей ме,\nКөп сөйлеп созбайын.\n\nТереңдеп қарайсың, \nТелміріп тұрмайсың. \nБихабар жүргенсіп,\nБек қатты сынайсың.\n\nСан кісі мұңайсын, \nСабырмен шыдайсың. \nКүйемін, жанамын,\nЕш рахым қылмайсың.\n\nКең маңдай, қолаң шаш, \nЯ бір кез, я құлаш.\nАқ тамақ, қызыл жүз, \nҚарағым, бетіңді аш!\n\nҚара көз, имек қас,\nҚараса жан тоймас.\nАузың бал, қызыл гүл,\nАқ тісің кір шалмас.\n\nҚыр мұрын, қыпша бел, \nСолқылдар соқса жел.\nАқ етің үлбіреп,\nӨзгеше біткен гүл.\n\nҚарағым, бермен кел,\nБізге де көңіл бөл, \nҚалқамның нұсқасын,\nКөр, көзім, бір кенел.\n\nҚайғың — қыс, жүзің — жаз, \nБоламын көрсем мәз.\nКүлкіңіз бойды алар, \nБұлбұлдай шықса әуез.\n\nКісімсіп дүрдараз,\nБұраңдап қылма наз.\nМал түгіл басымды,\nЖолыңа берсем де аз.\n\nИісің — гүл аңқыған,\nНұрың — күн шалқыған. \nКөргенде бой еріп,\nСүйегім балқыған.\n\nҚаяусыз қалпынан,\nӨзі артық даңқынан.\nҚызыл тіл шыға алмас, \nМақтаудың шартынан.\n\nСенсің — жан ләззәті,\nСенсің — тән шәрбәті. \nАртықша жаратқан,\nАлланың рахматы.\n\nКөрік — тәңірі дәулеті,\nҚылса ұнар құрметі.\nСұлуды сүймектік — \nПайғамбар сүндеті .\nНе десем саған еп? \nҒашығың да қайғы жеп. \nӨртенген жүрекке,\nБір көрген болар сеп.\n\nБіздердей ғашық көп, \nҚайсысы саған дөп? \nЖөндеп те айтпадым, \nЖүрегім дүпілдеп.\n\nНазына кім шыдар? \nБұраңдап жүр шығар. \nҚасқая күлгені,\nҚылады тым құмар.\n\nЕр емес қымсынар, \nӘркім-ақ ұмсынар. \nҚұдай-ау, бұл көңілім, \nКүн бар ма бір тынар?"
1891,Көзінен басқа ойы жоқ,"Көзінен басқа ойы жоқ,\nАдамның надан әуресі.\nСонда да көңілі тым-ақ тоқ, \nЖайқаң-қайқаң әрнесі.\n\nБілмейсің десе, жел өкпе,\nДейді о дағы — Тәңірі ісі. \nБірінен бірі бөлек пе,\nИемнің әділ пендесі?\n\nЖүректің көзі ашылса, \nХақтықтыңтүсер сәулесі, \nІштегі кірді қашырса \nАдамның хикметкеудесі.\n\nНаданның көңілін басып тұр \nҚараңғылық пердесі.\nАқылдан бойы қашық тұр, \nОйында бір-ақ шаруасы.\n\nКітапты молда теріс оқыр, \nДағарадай боп сәлдесі. \nМалқұмар көңілі — бек соқыр, \nБүркіттен кем бе жем жесі?\n\nЖүректе айна жоқ болса,\nСөз болмайды өңгесі.\nТыңдағыш қанша көп болса, \nСөз ұғарлық кем кісі."
1891,"Қызарып, сұрланып","Қызарып, сұрланып,\nЛүпілдеп жүрегі.\nӨзгеден ұрланып,\nӨзді-өзі керегі.\n\nЕкі асық құмарлы,\nБір жолдан қайта алмай. \nЖолықса ол зарлы,\nСөз жөндеп айта алмай.\n\nАялдап ақырын, \nЖүрекпен алысып, \nСыбдырын, тықырын, \nКөңілмен танысып.\n\nДем алыс ысынып, \nСаусағы суынып.\nБелгісіз қысылып,\nПішіні құбылып.\n\nИығы тиісіп,\nТұмандап көздері. \nҮндемей сүйісіп,\nМас болып өздері.\n\nЖанында — жапырақ, \nҮстінде — жұлдыз да. \nЕлбіреп-қалтырап,\nЖігіт пен ол қыз да.\n\nӨзге ойдан тыйылып, \nБірімен бірі әуре. \nЖүрекке құйылып \nЖан рахат бір сәуле.\n\nКөкірек елжіреп,\nБуындар босанып. \nРахатпен әлсіреп,\nКөзіне жас алып.\n\nЖүйрік тіл, терең ой, \nСол күнде қайда едің? \nҒашыққа мойын қой, \nЖеңілдің, жеңілдің!.."
1891,Менсінбеуші ем наданды,"Менсінбеуші ем наданды,\nАқылсыз деп қор тұтып. \nТүзетпек едім заманды,\nӨзімді тым-ақ зор тұтып.\n\nТаппадым көмек өзіме,\nКөп наданмен алысып.\nКөнбеді ешкім сөзіме,\nӘдетіне қарысып.\n\nЖан шошырлық түрінде,\nБәрі бірдей еліріп.\nҰстай алмадым бірін де, \nКекиді кейін шегініп.\n\nӘринемен ел кетті, \nҚоқиланды, мақтанды.\nҚуат бітті, күн өтті,\nЖарылқа, Құдай, жатқанды.\n\nМен — қажыған арықпын, \nҚатын-бала қонағы.\nСендерге де қанықпын, \nЖұртың анау баяғы.\n\nЖарлы емеспін, зарлымын, \nМұны ойла толғанып. \nЖұртым деуге арлымын,\nӨзге жұрттан ұялып.\n\nБарымта мен партия –\nБәрі мастық, жұрт құмар. \nСыпыра елірме, сұрқия,\nКөп пияншік нені ұғар?\n\nТатулықты, тыныштықты \nҚоңыр көрер, кем көрер. \nҰрлық пенен қулықты \nҚызық көрер, өңі енер.\n\nМұндай елден бойың тарт, \nМен қажыдым, сен қажы! \nАйтып-айтып өтті қарт, \nКөнбеді жұрт, не ылажы?"
1892,"Жүрегім, ойбай, соқпа енді","Жүрегім, ойбай, соқпа енді! \nБола берме тым күлкі.\nКөрмейсің бе, тоқта енді,\nКімге сенсең, сол — шикі.\n\nЖетім қозы — тас бауыр,\nТүңілер де отығар.\nСорлы жүрек мұнша ауыр,\nНеге қатты соқтығар?\n\nСенісерге жан таба алмай,\nСенделеді ит жүрек.\nТірілікте бір қана алмай,\nБұл не деген тентірек?\n\nЖоқ деп едің керегің,\nТоп жиып ең бір бөлек.\nКезек келер демедің,\nЕндігі керек қай керек?"
1892,Кешегі Оспан — бір бөлек жан,"Кешегі Оспан — \nБір бөлек жан,\nҮйі — базар, түзі — той. \nАқша, нәрсе\nАла берсе,\nАт та мінсе, көнді ғой.\n«Ала берден»,\n«Келе көрден»\nБір күн басын бұрды ма? \nКелді қаптап,\nАлды сап-сап,\nКетті мақтап, тұрды ма?\nЖауға — мылтық,\nДосқа ынтық,\nЖан асар ма осыдан? \nҚорықпай өтті,\nЖанға жетті,\nАрман етті досынан.\nЕл тамағын,\nЖұрт азабын\nЖеке тартқан кетті гүл. \nСондай ерді –\n«Ала берді»\nТабар енді біздің ел!\nӨлді Оспан,\nКетті шопан,\nЕнді кім бар бақ қонар? \nҰрла-қарла,\nЖұртты шарла,\nОйла, барла — не болар?\nЖұрт тынымсыз,\nБәрі ұғымсыз,\nЕнді оларға сөз де жоқ. \nСырты абыз бар,\nЖелқабыз бар,\nАлты ауыз бар — өзге жоқ."
1892,Қайғы шығар ілімнен,"Қайғы шығар ілімнен, \nЫза шығар білімнен.\nҚайғы мен ыза қысқан соң, \nЗар шығады тілімнен.\nҚайтіп қызық көремін \nӘуре-сарсаң күнімнен? \nҚайрылып қарап байқасам, \nАт шаба алмас мінімнен.\n\nҚайғылы, қартаң біздей шал \nҚарай берсең, қайда жоқ? \nЕсер, есірік болмасаң, \nТіршіліктен пайда жоқ.\n\nАқыл бітпес дәулетке, \nДәулет бітпес келбетке. \nБолымсыз қулық тойымсыз \nБолды балаң жөргекте. \nІшімен жау боп, сыртымен \nКім тояр қылған құрметке? \nКеңшілікте туған жоқ \nШықсын деген жел бетке. \nТарлықта қанша тайпалса, \nҚадірі болмас, әлбетте.\n\nСыйласа елің ұлықтап, \nАраласаң қызықтап,\nҚызық пенен тыныштыққа \nҚазақ тұрмас тұрықтап. \nҚаңқылдап біреу ән салса, \nБіріне бірі жуықтап. \nТебінісіп қамалар,\nТоқтатып болмас сырықтап. \nТүзу бол деген кісіге \nТүзу келмес ырықтап. \nСырдаң тартып қашады, \nҰстайсың қайтіп құрықтап?\n\nЕл жайын біліп қансаңыз, \nАйтайын құлақ салсаңыз: \nКейбіреуі дүрсіп жүр,\nЖер тәңірісіп кер мағыз. \nКейбіреуі — зәкүншік,\nОңдырмассып, берсе арыз. \nКейбірі пірге қол берген,\nІші залым, сырты абыз. \nКейбірі қажыға барып жүр, \nБолмаса да қаж парыз. \nМұсылмандық ол ойлап, \nӨтеген қашан ол қарыз?\n\nДәулеті жоқ бурыл шаш, \nҮйіңе кет, топтан қаш!.. \nАғайынның ішінен \nШыға қалса тай-талас, \nПартия жиып, мал сойса, \nБата оқисың, жейсің бас. \nБасалқа сөз сенде жоқ, \nАйтқан сөзің «малың шаш». \nИтше иттен тілемей,\nЖат үйіңде, өлсең де аш!\n\nОйлап-ойлап қарасам, \nОсындай шал қайда жоқ? \nҚозғау салып қоздырғыш, \nКезбе шалдан пайда жоқ."
1892,"Не іздейсің, көңілім, не іздейсің?","Не іздейсің, көңілім, не іздейсің? \nБосқа әуре қылмай, шыныңды айт. \nШарқ ұрып, тыныштық бермейсің, \nСырласалық, бермен қайт.\n\nАбұйыр, атақ сол жанда\nКімді көп жұрт мақтаса.\nОл мақтаудан не пайда,\nКөп мақтауын таппаса?\n\nКөп тәңірі атқан мақтай ма,\nОл тәңірі атқан болмаса?\nЖоқты-барды шатпай ма,\nКөптің өзі оңбаса?\n\nМақтау — жел сөз жанға қас, \nҚошеметшіл шығарған.\nБір мақтаса боқтамас \nЕл табылса, құмарлан.\n\nЖұрттың бәрі сөз сатқан,\nСатып алып не керек?\nЕкі сөзді тәңірі атқан –\nШыр айналған дөңгелек.\n\nСатып алма, сөз сатса,\nОл асылды аңдамас.\nБіләткенің байы– ақша,\nЕр жақсысын таңдамас.\n\nМен мақтанның құлы емес,\nШын ақылға зорлық жоқ.\nАнтұрған көп пұл емес,\nӨлім барда қорлық жоқ.\n\nӨмір, дүние дегенің,\nАғып жатқан су екен.\nЖақсы-жаман көргенің,\nОйлай берсең, у екен."
1892,Оспанға,"Жайнаған туың жығылмай, \nЖасқанып жаудан тығылмай, \nЖасаулы жаудан бұрылмай, \nЖаужүрек, жомарт құбылмай, \nЖақсы өмірің бұзылмай,\nЖас қуатың тозылмай,\nЖалын жүрек суынбай,\nЖан біткеннен түңілмей, \nЖағалай жайлау дәулетің \nЖасыл шөбі қуармай, \nЖарқырап жатқан өзенің, \nЖайдақ тартып суалмай, \nЖайдары жүзің жабылмай, \nЖайдақтап қашып сабылмай, \nЖан біткенге жалынбай,\nЖақсы өліпсің, япырмай!"
1892,Сұрғылт тұман дым бүркіп,"Сұрғылт тұман дым бүркіп,\nБарқыт бешпент сулайды.\nЖеңіменен көз сүртіп,\nСұрланып жігіт жылайды.\nӘйелмісің, жылама,\nТәуекел қыл құдаға!\nӨлең айт,\nҮйге қайт!\n\nАтаңды анаң азғырып,\nТұрғызбаған бейішке.\nАлласы оны жазғырып,\nӘкелді бастап кейіске.\nӘйелде ешбір опа жоқ,\nБүгін — жалын, ертең — шоқ. \nБелді бу,\nБетті жу!"
1893,Баймағамбетке қатынының атынан шығарылған,"Әжінің жақсы-ақ қызы едім,\nЖетістірем деп алды.\nТілеуін түзден тілесе,\nБаста мені неге алды?\nСол желіккеннен желігіп,\nЖынды сары жоғалды.\nОйбайлаған болайын-ай,\nЖоқтамасам, обал-ды."
1893,"Бойы бұлғаң, сөзі жылмаң","Бойы бұлғаң,\nСөзі жылмаң\nКімді көрсем, мен сонан \nБетті бастым,\nҚатты састым,\nТұра қаштым жалма-жан.\n\nӨз ойында,\nТұл бойында\n Еш міні жоқ пендесіп, \nТүзде мырзаң,\nҮйде сырдаң,\nСөзі қылжаң еркесіп.\n\nБас құрасып,\nМал сұрасып,\nБермегенмен кетісер.\nАдам аулап,\nСыпыра саулап,\nБайды жаулап жетісер.\n\nСөз қыдыртқан,\nЖұрт құтыртқан,\nАнтын, арын саудалап. \nБұтты-шатты,\nҮй санатты \nБайдан атты алмалап.\n\nКедейі — ер,\nКеселі зор,\nМалды байдан сорлы жоқ. \nАш көмектің,\nЖемдемектің,\nБосқа әлектің орны жоқ.\n\nЕл қағынды,\nМал сабылды,\nҰрлық, өтірік гуде-гу. \nБайы — баспақ,\nБиі саспақ,\nӘулекі аспақ сірә қу.\n\nАқы берген,\nАйтса көнген,\nТыныштық іздер елде жоқ. \nАққа тартқан,\nЖөнге қайтқан,\nАқыл айтқан пенде жоқ.\n\nӘз тұтуға,\nСыйласуға\nҚалмады жан бір татыр. \nСыпыра батыр,\nПәле шақыр,\n Болдың ақыр тап-тақыр.\n\nСу жұғар ма,\nСөз ұғар ма,\nСірә жалмаң желбуаз? \nАйтты — көндім,\nАлды — бердім,\nЕнді өкіндім — өзіме аз."
1893,Жақсылық ұзақ тұрмайды,"Жақсылық ұзақ тұрмайды,\nЖамандық әр кез тозбайды.\nҮміттің аты еліріп,\nҚос тізгінді созбайды.\nҚос тепкіні салсаң да, \nУайымнан озбайды.\nБір қайғыны ойласаң,\nЖүз қайғыны қозғайды.\nЖер қорығыш желгек шал \nЖеліп жүріп боздайды.\n\nҚұрсаған бұлт ашылмай, \nАспанның жүзі көгермес. \nҮрпейген жүрек басылмай, \nТалапты көңіл елермес. \nШырайды қайғы жасырмай, \nКүлкінің ерні кезермес. \nШыдасаң есті қашырмай, \nҚұлдатып, қор ғып жібермес.\n\nКез келсе қайғы қат-қабат, \nҚаңғыртпай қоймас адамды. \nҚасиетсіз туған — о да жат, \nКүңкілдеп берер сазаңды. \nБәрінен де сол қымбат, \nҚайтерсің өңкей наданды. \nСыпыра батыр, сұм құрбәт\nМақтанмен алды мазамды."
1893,"Ысытқан, суытқан бойыңды бір көңіл","Ысытқан, суытқан \nБойыңды бір көңіл. \nДүниені ұмытқан \nҚұмарың тозар, біл.\n\nӘуелгі кезінде \nҚайтпаған көңілдің, \nЕсептеп өзің де,\nТүрінен өмірдің.\n\nБір жақсы күнім деп, \nҚызығын сөйлесіп. \nАртынан «ол нем?» деп, \nҰялып кезнесіп.\n\nБір ақымақ әңгіме \nСықылды көрінер. \nОнысын өңгеге \nАйтуға ерінер.\n\nАйтуға білсе, ерінбес, \nНадандықпен жеңілмес. \nБілген кісі айтса оған, \nНадандығы кемімес."
1894,Антпенен тарқайды,"Антпенен тарқайды \nЖиылса кеңеске.\nОр қазып байқайды \nТуа жау емеске.\n\nАнттасып алқайды\nСен тентек демеске.\nКім анттан шалқайды \nАмал жоқ жемеске.\n\nАз адам шаршайды,\nЕбіне көнбеске.\nБасы ыңғай қайқайды,\nАмал жоқ өлмеске.\n\nЕл састы, аңқайды,\nБи тартты егеске. \nЖұрт тағы мал-жайды \nОй қылар бермеске.\n\nӨсімге қол жайды,\nТай алып серкешке. \nАлмаса ол тайды, \nДап-дайын көрмеске.\n\nКедей би жантайды \nСауыр мен өркешке. \nСаумаққа ол байды, \nКеңесер би кешке.\n\nҚайғы қып болмайды, \nӨкпелеп білмеске. \nСүйтсе де оңбайды, \nБұрынғы түсті еске.\n\nПысықтар шалқайды,\nТаласып теңдеске. \nҚағысып шонтайды \nӨзімен жемдеске.\n\nТаласып тарқайды \nАқшадан төрт-беске. \nБірлікті шайқайды, \nАраз боп өнбеске."
1894,Әбдірахман науқастанып жатқанда,"Я, құдай, бере көр,\nТілеген тілекті.\nҚорқытпай орнықтыр \nШошыған жүректі.\n\nШын жүрек елжіреп, \nАлладан тілеймін.\nШын қалқам осы күн \nБолып тұр керекті.\n\nЖүрегім суылдап,\nСүйегім шымырлап, \nАлладан тілеймін \nҚұпия сыбырлап.\n\nЗар етсе пендесі,\nБермей ме Алласы.\nТән саулық қалқама, \nҚабыл боп көз жасы.\n\nНе жазам, япырмау,\nҚол шорқақ, тіл мақау. \nСәләмат өзіңді \nКешікпей көрсем-ау.\n\nБір суып, бір ысып, \nБарады іш пысып.\nЖүзіңді бір көріп, \nСүйгенше бір құшып.\n\nБір үміт, бір қауіп, \nКөңілге жол тауып,\nКірген соң сөз қиын,\nӘрнеге ой ауып.\n\nЕкі аяқ не қылып, \nБасқаша ауырып, \nЯпырмай, докторлар \nЖүрмесін жаңылып.\n\nЖарылып ауыз ашты, \nЖарасы жарасты.\nЖарасыз біреуі \nНеліктен ұйқы ашты.\n\nАлмаса докторға,\nНанбаңыз соққырға. \nВизитке төлемей, \nШырағым, бос қалма.\n\nОл жесін, ол жұтсын, \nШырайын жылытсын. \nАқшаны аяма, \nҰйқыны тыншытсын.\n\nӘбсәмет жиенің,\nОл — сенің біреуің. \nДостығын достықпен \nӨтемек — тілеуім.\n\nКөңілдің хоштығы –\nОл оның достығы. \nБарар ем, қолымның \nБолмады бостығы.\n\nСарғайды жүзіміз,\nСарылды көзіміз. \nҚатайып сауықсаң \nСағынған өзіңіз.\n\nХатымды көріңіз, \nКөңілді бөліңіз. \nҚуатың ерік берсе, \nКешікпей келіңіз.\n\nТуа өскен жеріңіз, \nТуысқан еліңіз \nЗар боп тұр көруге, \nҰнатса көңіліңіз.\n\nУайым жеуліміз,\n«А, құдай» деуліміз. \nЖазылып келсеңіз, \nГүлденер өміріміз."
1894,Әбдірахманға,"Алланың рахматын \nЖар тұтып әр неге.\nӘр-рахманол атын \nҮйреткен жүмлеге .\n\nДұғаның қуатын \nЖіберме өңгеге.\nӘбіштің сыйххатын\nБеркітсең кеудеге.\n\nРәушан сипатын \nТез көрсет пендеге. \nОсындай шапқатын\nҰмытам мен неге?\n\nЗар хатым — бұл хатым, \nБізді тыныш жүр деме. \nАзайып қуатым,\nДенем жүр көрмеге.\n\nБұл — жазған сұңғатым , \nКөңіл ашар бір наме . \nМенің сол рахатым \nКөзіме сүрмеге."
1894,Әбдірахманға Кәкітай атынан хат,"Көзімнің нұрысыз, \nСізсіз жоқ қуаныш. \nӨмірдің гүлісіз,\nКөңіліме жұбаныш.\n\nЗар қылып тілеймін \nРахыматын Алланың. \nЕлжіреп жылаймын, \nКөңілін аш пенденің.\n\nСыйххатын қалқама, \nБере гөр, я, Рахим. \nТілегім — бұл ғана, \nҚайғымды қыл шағын.\n\nАғатай, сағындым, \nЕсен-сау көрмекке.\nСөз таппай аңырдым, \nОқыңыз ермекке.\n\nОсы күн өмірімнің \nЕшбір жоқ қызығы. \nЖаралы көңілімнің \nЖазылмай сызығы.\n\nМақсатым хатымды \nАз уақыт болса ермек. \nСөзім жоқ татымды, \nХошлықпен көріспек."
1894,"Әбдірахманға Кәкітай атынан хат («Тілім, саған айтайын, осы сөздің келісін тап»)","Тілім, саған айтайын,\nОсы сөздің келісін тап.\nҚолым, сені қайтейін,\nҚаламды тұрдың қатты ұстап.\n\nЖүректің сөзін сөйле, тіл,\nЖалғаны жоқ бояма.\nҚу көсеқандай өзімшіл,\nБір сынамай қоя ма?\n\nМахаббатпен қарап бақ,\nТамыр соқса солқылдап.\nМен жазайын сізге хат,\nОқып көрсін ол шындап.\n\nОқып көріп байқасын,\nМағынасы ішке кіре ме?\nҰрлаған сөз деп айтасың,\nСөз ұрлыққа жүре ме?\n\nКісі айтпаған сөз бар ма,\nТегіс ұғар қай құлақ?\nСөккенің оны ұнар ма,\nҮйренген сөзге мен де ортақ.\n\nТұла бойым, балқи көр,\nӘбіш ағам дегенде.\nМейлің, Мағаш, шалқи бер,\nНе десең де сөгем бе?\n\nКөріскен соң бір дидар,\nАлла оңғарып келгенде,\nСынаушы сонда табылар\nМұнда жатқан елден де.\n\nТөсекке менің жатуым –\nҰйқыға әбден талған соң,\nҰстазым мен татуым\nСен екеуің болған соң.\n\nЖас жүрегім қозғалса, \nБір Аллаға тілегім.\nОл қарағым оңалса, \nТыншыр еді жүрегім.\n\nЖүздеріңді сау көрсем, \nЕкі көзім нұры еніп. \nҚосылысып бір жүрсем, \nӘр нәрсені үйреніп.\n\nЖерің алыс, жете алмай, \nМағаштан да мен сорлы. \nҚызметіңді ете алмай \nҚалмас едім сол құрлы."
1894,Әсемпаз болма әрнеге,"Әсемпаз болма әрнеге,\nӨнерпаз болсаң, арқалан.\nСен де — бір кірпіш, дүниеге \nКетігін тап та, бар қалан!\nҚайрат пен ақыл жол табар, \nҚашқанға да, қуғанға.\nӘділет, шапқаткімде бар,\nСол жарасар туғанға.\nБастапқы екеу соңғысыз \nБіте қалса қазаққа,\nАлдың — жалын, артың — мұз, \nБарар едің қай жаққа?\nПайданы көрсең бас ұрып, \nМақтанды іздеп, қайғы алма. \nМініңді ұрлап жасырып, \nМайданға түспей бәйгі алма.\nӨзіңде бармен көзге ұрып, \nАртылам деме өзгеден. \nКүндестігін қоздырып,\nАзапқа қалма езбеден.\nАқырын жүріп, анық бас, \nЕңбегің кетпес далаға.\nҰстаздық қылған жалықпас \nҮйретуден балаға."
1894,Ғашықтың тілі — тілсіз тіл,"Ғашықтың тілі — тілсіз тіл, \nКөзбен көр де, ішпен біл.\nСүйісер жастар қате етпес,\nМейлің инан, мейлің күл. \n\nОл тілге едік оңтайлы –\nҚаріпсіз біліп сондайды.\nБіліп-ақ, ұғып қоюшы ек,\nЕнді ішіме қонбайды."
1894,Ескілік киімі,"Ойланып, ойға кеттім жүз жылғы өткен,\nТон қабаттап кигенім — шидем шекпен . \nЖейде-дамбал ақ саңнан , жарғақ шалбар , \nЖырым балақ матамен әдіптеткен.\n\nМықшима аяғымда былғары етік,\nКиіз байпақ тоңдырмас ызғар өтіп.\nҮлкен кісебелімде жез салдырған, \nШақпағым , дәндәкуімжарқ-жұрқ етіп.\n\nКүләпәрабастырған пұшпақ тымақ,\nІшкі бауын өткізген тесік құлақ.\nТобылғыдан кесіп ап, жіппен қадап,\nАртын белге қыстырған бар құрысқақ.\n\nҚалмақы қара үзеңгі, биік қасты ер, \nҚанжығамда байлаулы жіптен шідер.\nЖарғақ жастық көпшігім , жезді пыстан ,\nБір келісті сайманым топқа мінер."
